F1_App_numtakeoff,F1_App_sleeprecovery,F1_App_meditation,F1_App_breathwork,F1_App_periodpredictor,F1_App_otherring,F1_App_encourgesleep,F1_App_encouragemove,F1_App_encourageworkout,F1_App_encouragetakeeasy,F1_App_encourageother,F1_Activity_numvigorous,F1_Activity_nummoderate,F1_Activity_hoursminutes1,F1_Activity_hoursminutes4,F1_Activity_numwalking,F1_Activity_hoursminutes2,F1_Activity_hoursminutes3,F1_Activity_hoursminutes5,F1_Activity_hoursminutes6,F1_Caffeine_caffeinethisweek,F1_Caffeine_coffee,F1_Caffeine_tea,F1_Caffeine_soda,F1_Caffeine_energydrink,F1_Caffeine_workoutdrink,F1_Caffeine_otherdrink,F1_Caffeine_whencaffeineearly,F1_Caffeine_whencaffeinemorning,F1_Caffeine_whencaffeineafternoon,F1_Caffeine_whencaffeinelateafternoon,F1_Caffeine_whencaffeineevening,F1_Caffeine_whencaffeinenight,F1_Caffeine_whycaffeineawake,F1_Caffeine_whycaffeinestayup,F1_Caffeine_whycaffeinefocus,F1_Caffeine_whycaffeinealert,F1_Caffeine_whycaffeineproductive,F1_Caffeine_whycaffeinephysical,F1_Caffeine_whycaffeinenonspecific,F1_Caffeine_whycaffeinenoanswer,F1_Caffeine_whycaffeineother,F1_TimeOut_Days,F1_TimeOut_Hours,F1_TimeOut_Minutes,F1_TimeOut_When,F1_TimeOut_Cycling,F1_TimeOut_WalkingorHiking,F1_TimeOut_Running,F1_TimeOut_Camping,F1_TimeOut_GamesandSports,F1_TimeOut_OutdoorWorkout,F1_TimeOut_Relaxation,F1_TimeOut_ExtremeSports,F1_TimeOut_Other,F1_TimeOut_Location,F1_Social_numbersocial,F1_Social_howmanyfriends,F1_Social_howmmanyinperson,F1_Social_videocall,F1_Social_phone,F1_Social_talkfamily,F1_Social_moreorless,F1_Sleep_sleephours,F1_Sleep_sleepquality,F1_Sleep_sleepamount,F1_Stress_stressevent,F1_Stress_describeevent,F1_Stress_stressacademic,F1_Stress_stresspaper,F1_PSS_stressupset,F1_PSS_stresscontrol,F1_PSS_stressnervous,F1_PSS_stressconfident,F1_PSS_stressthings,F1_PSS_stresscope,F1_PSS_stressirritations,F1_PSS_stressontop,F1_PSS_stressangered,F1_PSS_stressdifficulties,F1_GAD_nervous,F1_GAD_worry,F1_GAD_worrydifferent,F1_GAD_troublerelaxing,F1_GAD_restless,F1_GAD_annoyed,F1_GAD_afraid,F1_GAD_totalscore,F1_GAD_howdifficult,week
4.1,1.0,0,0,0,0.0,1,0.0,0,0,0,,,,,5.0,,,,,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,1.0,,,,,0.0,0,0,0.0,0.0,0,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2.9000000000000004,1.0,0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.2,1.6,7.0,0.2,45.0,5.800000000000001,1.6,1.0,1.0,0.0,0.0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0.0,1.0,0,0,0.0,0.0,0.0,0.2,30.0,4.0,0.0,1,0,0.0,0.0,0,0.0,0,0.0,1.0,6.0,15.4,15.4,1.0,0.0,2.3,3.0,7.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,7.0,1.0,5.0
7.7,0.0,0,0,0,0.0,0,0.0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,,,,,0.0,0,0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
4.1,0.0,0,0,0,0.0,0,0.0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,,,,,0.0,0,0,0.0,0.0,1,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
7.1000000000000005,0.0,0,0,0,0.0,0,0.0,0,0,0,2.0,2.0,3.8,1.6,7.0,2.2,2.0,4.6,1.6,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,5.0,2.2,0.0,2.0,0.0,1,0,0.0,0.0,0,0.0,0,0.0,1.0,5.0,4.6,4.6,5.0,0.0,2.9000000000000004,2.0,7.0,2.0,1.0,1.0,4.0,,,3.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,12.0,3.0,6.0
2.3,1.0,0,0,0,0.0,0,0.0,0,0,0,3.0,3.0,2.2,1.6,2.0,0.2,0.0,4.6,30.4,1.0,1.0,0.0,1.0,1,0,0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,1.0,0.0,0,0,0.0,0.0,4.0,2.2,0.0,1.0,0.0,1,0,0.0,1.0,0,0.0,0,0.0,1.0,3.0,15.4,15.4,1.0,0.0,2.3,2.0,7.0,1.0,2.0,0.0,,,,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,4.0
2.9000000000000004,1.0,0,0,0,0.0,0,0.0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0,0.0,0.0,,,,,0.0,0,0,0.0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2.3,0.0,0,0,0,0.0,0,0.0,0,0,0,5.0,5.0,0.2,30.4,7.0,2.2,0.0,7.0,30.4,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1,1,0.0,1.0,0,0.0,0,0.0,2.0,5.0,15.4,15.4,0.0,2.0,7.1000000000000005,3.0,8.2,2.0,1.0,0.0,,,,0.0,0.0,0.0,3.0,3.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0
7.7,1.0,0,0,0,0.0,1,1.0,0,0,0,3.0,5.0,0.2,30.4,7.0,0.2,0.0,7.0,1.6,1.0,1.0,0.0,0.0,1,0,0,1.0,0.0,,1.0,1.0,0.0,1,0,0,0.0,0.0,0,0,0.0,,3.0,3.8,0.0,6.0,0.0,1,0,0.0,0.0,0,1.0,0,0.0,3.0,8.0,4.6,4.6,0.0,0.0,5.3,3.0,7.0,4.0,3.0,1.0,5.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,12.0,2.0,3.0
7.7,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,3.0,1.0,20.799999999999997,6.0,2.2,45.0,5.800000000000001,30.4,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.2,30.0,2.0,0.0,1,0,0.0,0.0,0,0.0,0,0.0,2.0,9.0,10.6,15.4,0.0,2.0,7.1000000000000005,3.0,7.0,2.0,3.0,0.0,,,,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
